,object  ,precipitant,Effect,Related Drugs,Options
0,AMIODARONE,LEVOFLOXACIN,Increased risk of TdP and/or QTc prolongation on ECG,"·Azithromycin (Zithromax®), clarithromycin (Biaxin®), erythromycin (E-Mycin®), and telithromycin (Ketek®) also have a possible risk of TDP and/or QTc prolongation on ECG","Usually Avoid ·Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"
1,AMIODARONE,GEMIFLOXACIN,Increased risk of TdP and/or QTc prolongation on ECG,"·Azithromycin (Zithromax®), clarithromycin (Biaxin®), erythromycin (E-Mycin®), and telithromycin (Ketek®) also have a possible risk of TDP and/or QTc prolongation on ECG","Usually Avoid ·Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"
2,AMIODARONE,MOXIFLOXACIN,Increased risk of TdP and/or QTc prolongation on ECG,"·Azithromycin (Zithromax®), clarithromycin (Biaxin®), erythromycin (E-Mycin®), and telithromycin (Ketek®) also have a possible risk of TDP and/or QTc prolongation on ECG","Usually Avoid ·Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"
3,AMIODARONE,OFLOXACIN,Increased risk of TdP and/or QTc prolongation on ECG,"·Azithromycin (Zithromax®), clarithromycin (Biaxin®), erythromycin (E-Mycin®), and telithromycin (Ketek®) also have a possible risk of TDP and/or QTc prolongation on ECG","Usually Avoid ·Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"
4,CARBAMAZEPINE,CLARITHROMYCIN,Increased carbamazepine concentrations and risk of carbamazepine toxicity,·Azithromycin (Zithromax®) does not appear to inhibit CYP3A4,"Take Precautions ·Consider Alternatives: Consider alternative antimicrobials (e.g., azithromycin, quinolones, 2nd/3rd generation cephalosporins, penicillin) ·Monitor: If alternatives are not appropriate, monitor carbamazepine concentrations (e.g., within 24 hours) and consider temporary downward adjustment of the carbamazepine dosage (e.g., by 30-50%). Warn patients about symptoms of carbamazepine toxicity (e.g., nausea, vomiting, dizziness, drowsiness, headache, diplopia, confusion). Also monitor for altered carbamazepine effect when clarithromycin or erythromycin are changed in dosage or discontinued.If carbamazepine is started in the presence of one of these agents, consider conservative initial carbamazepine dosing."
5,CARBAMAZEPINE,ERYTHROMYCIN,Increased carbamazepine concentrations and risk of carbamazepine toxicity,·Azithromycin (Zithromax®) does not appear to inhibit CYP3A4,"Take Precautions ·Consider Alternatives: Consider alternative antimicrobials (e.g., azithromycin, quinolones, 2nd/3rd generation cephalosporins, penicillin) ·Monitor: If alternatives are not appropriate, monitor carbamazepine concentrations (e.g., within 24 hours) and consider temporary downward adjustment of the carbamazepine dosage (e.g., by 30-50%). Warn patients about symptoms of carbamazepine toxicity (e.g., nausea, vomiting, dizziness, drowsiness, headache, diplopia, confusion). Also monitor for altered carbamazepine effect when clarithromycin or erythromycin are changed in dosage or discontinued.If carbamazepine is started in the presence of one of these agents, consider conservative initial carbamazepine dosing."
6,CARBAMAZEPINE,TELITHROMYCIN,Increased carbamazepine concentrations and risk of carbamazepine toxicity,·Azithromycin (Zithromax®) does not appear to inhibit CYP3A4,"Take Precautions ·Consider Alternatives: Consider alternative antimicrobials (e.g., azithromycin, quinolones, 2nd/3rd generation cephalosporins, penicillin) ·Monitor: If alternatives are not appropriate, monitor carbamazepine concentrations (e.g., within 24 hours) and consider temporary downward adjustment of the carbamazepine dosage (e.g., by 30-50%). Warn patients about symptoms of carbamazepine toxicity (e.g., nausea, vomiting, dizziness, drowsiness, headache, diplopia, confusion). Also monitor for altered carbamazepine effect when clarithromycin or erythromycin are changed in dosage or discontinued.If carbamazepine is started in the presence of one of these agents, consider conservative initial carbamazepine dosing."
7,CLOPIDOGREL,OMEPRAZOLE,Decreased concentrations of clopidogrel active metabolite and decreased antiplatelet effects,·Esomeprazole (Nexium®) is thought to also inhibit CYP2C19; insufficient data regarding other PPIs ·Cimetidine (Tagamet®) inhibits CYP2C19,Usually Avoid ·Consider Alternatives: Consider an alternative proton-pump inhibitor (except esomeprazole) Other alternatives include H2 blockers (except cimetidine).
8,DIGOXIN ,CLARITHROMYCIN  ,Increased digoxin concentrations and risk of digoxin toxicity,,Isolated reports of digoxin toxicity have been associated with azithromycin (Zithromax®) therapy
9,DIGOXIN,ERYTHROMYCIN   ,Increased digoxin concentrations and risk of digoxin toxicity,,Isolated reports of digoxin toxicity have been associated with azithromycin (Zithromax®) therapy
